         24868 function calls (23568 primitive calls) in 0.131 seconds

   Ordered by: internal time, cumulative time
   List reduced from 1229 to 200 due to restriction <200>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/utils.py:53(int1store)
       51    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/sre_compile.py:428(_simple)
        1    0.000    0.000    0.001    0.001 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/abstracts.py:24(<module>)
       10    0.000    0.000    0.001    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/sqlalchemy/sql/compiler.py:633(visit_label)
       23    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/sre_parse.py:74(opengroup)
       18    0.000    0.000    0.001    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/connection.py:317(_handle_ok)
       82    0.000    0.000    0.000    0.000 {method 'decode' of 'bytearray' objects}
       39    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/bin/../lib/python2.7/_weakrefset.py:36(__init__)
       15    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/sqlalchemy/orm/loading.py:490(_populate_full)
        1    0.000    0.000    0.001    0.001 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/abstracts.py:339(_check_server_version)
       97    0.000    0.000    0.000    0.000 /usr/local/Cellar/python/2.7.13/Frameworks/Python.framework/Versions/2.7/lib/python2.7/weakref.py:335(__setitem__)
        3    0.000    0.000    0.025    0.008 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/sqlalchemy/engine/base.py:1104(_execute_context)
        4    0.000    0.000    0.002    0.001 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/sqlalchemy/sql/compiler.py:1640(visit_select)
      168    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/sre_parse.py:149(append)
        1    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/custom_types.py:24(<module>)
        1    0.000    0.000    0.030    0.030 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/sqlalchemy/engine/strategies.py:48(create)
        4    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/sqlalchemy/sql/selectable.py:2490(__init__)
       11    0.000    0.000    0.006    0.001 /Users/jim.chung/opt/product_search/venv/lib/python2.7/sre_parse.py:706(parse)
     16/1    0.000    0.000    0.002    0.002 /Users/jim.chung/opt/product_search/venv/bin/../lib/python2.7/_abcoll.py:548(update)
       92    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/encodings/utf_8.py:15(decode)
     16/1    0.000    0.000    0.005    0.005 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/flask_restplus/marshalling.py:13(marshal)
        2    0.000    0.000    0.000    0.000 {method 'connect_ex' of '_socket.socket' objects}
        7    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/sqlalchemy/orm/strategies.py:30(_register_attribute)
       31    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/sqlalchemy/util/langhelpers.py:270(inspect_func_args)
       35    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/gevent/hub.py:361(get_hub)
      244    0.000    0.000    0.000    0.000 {min}
       17    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/sqlalchemy/sql/compiler.py:2878(_requires_quotes)
       87    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/sqlalchemy/event/base.py:100(_event_descriptors)
        2    0.000    0.000    0.000    0.000 /usr/local/Cellar/python/2.7.13/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:237(__init__)
       10    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/sqlalchemy/sql/type_api.py:1288(adapt_type)
      833    0.000    0.000    0.000    0.000 {id}
       18    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/abstracts.py:601(python_charset)
        1    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/cursor.py:1063(MySQLCursorPrepared)
       48    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/flask_restplus/fields.py:41(get_value)
       23    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/werkzeug/local.py:300(_get_current_object)
       28    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/gevent/_socket2.py:56(_get_memory)
       28    0.000    0.000    0.001    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/gevent/_socket2.py:318(send)
     23/4    0.000    0.000    0.002    0.001 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/sqlalchemy/sql/visitors.py:75(_compiler_dispatch)
       33    0.000    0.000    0.000    0.000 /usr/local/Cellar/python/2.7.13/Frameworks/Python.framework/Versions/2.7/lib/python2.7/collections.py:71(__setitem__)
        3    0.000    0.000    0.001    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/sqlalchemy/engine/result.py:196(__init__)
    40/35    0.000    0.000    0.004    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/werkzeug/utils.py:68(__get__)
       11    0.000    0.000    0.024    0.002 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/connection.py:473(cmd_query)
     49/4    0.000    0.000    0.002    0.001 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/flask_restplus/marshalling.py:52(<genexpr>)
        1    0.000    0.000    0.000    0.000 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/mysql/connector/abstracts.py:36(MySQLConnectionAbstract)
      377    0.000    0.000    0.000    0.000 {greenlet.getcurrent}
        4    0.000    0.000    0.002    0.001 /Users/jim.chung/opt/product_search/venv/lib/python2.7/site-packages/sqlalchemy/sql/compiler.py:376(__init__)
